순번,분전함,등주,위도,경도,데이터기준일자
1,월미로21(YB1),좌103,37.472676,126.606904,2020-04-27
2,월미로21(YB1),좌104,37.4730541,126.6068744,2020-04-27
3,월미로21(YB1),좌105,37.4734305,126.6066979,2020-04-27
4,월미로21(YB1),좌106,37.4738157,126.6065098,2020-04-27
5,월미로21(YB1),좌107,37.4741743,126.6063562,2020-04-27
6,월미로21(YB1),좌102,37.4722428,126.6068442,2020-04-27
7,월미로21(YB1),좌101,37.4716413,126.607025,2020-04-27
8,월미로21(YB1),좌100,37.4712465,126.6071679,2020-04-27
9,월미로21(YB1),좌99,37.4708686,126.6072089,2020-04-27
10,월미로21(YB1),좌98,37.4705347,126.6071698,2020-04-27
11,월미로21(YB1),좌97,37.4702182,126.607074,2020-04-27
12,월미로21(YB1),좌96,37.4698743,126.6069447,2020-04-27
13,월미로21(YB1),좌95,37.4695482,126.6067925,2020-04-27
14,월미로21(YB1),좌94,37.4692131,126.6066517,2020-04-27
15,월미로21(YB1),좌93,37.4689052,126.6065218,2020-04-27
16,월미로21(YB1),좌92,37.4686335,126.6064025,2020-04-27
17,월미로21(YB1),좌108,37.4746402,126.6061328,2020-04-27
18,월미로21(YB1),좌109,37.4748912,126.6060264,2020-04-27
19,월미로21(YB1),좌91,37.4683437,126.6062722,2020-04-27
20,월미로21(YB1),좌89,37.4679053,126.6057716,2020-04-27
21,월미로21(YB1),좌87,37.4678023,126.604677,2020-04-27
22,월미로21(YB1),좌88,37.4677926,126.6053894,2020-04-27
23,축항대로86번길7(YB3),연안부두로75번길좌3,37.4510373,126.6041745,2020-04-27
24,축항대로86번길7(YB3),연안부두로75번길좌4,37.450915,126.6045045,2020-04-27
25,축항대로86번길7(YB3),연안부두로75번길좌5,37.4507483,126.6048806,2020-04-27
26,축항대로86번길7(YB3),연안부두로75번길좌6,37.450635,126.6052104,2020-04-27
27,축항대로86번길7(YB3),연안부두로75번길좌7,37.4504334,126.6056888,2020-04-27
28,축항대로86번길7(YB3),연안부두로75번길좌8,37.4501444,126.6063949,2020-04-27
29,축항대로86번길7(YB3),좌12,37.4516848,126.6040721,2020-04-27
30,축항대로86번길7(YB3),좌13,37.4512312,126.6038092,2020-04-27
31,축항대로86번길7(YB3),좌10,37.4525017,126.6045768,2020-04-27
32,축항대로86번길7(YB3),좌9,37.4529101,126.6048292,2020-04-27
33,축항대로86번길7(YB3),좌8,37.4532551,126.6050488,2020-04-27
34,축항대로86번길7(YB3),좌7,37.4536364,126.6052904,2020-04-27
35,제물량로6(YB2),좌41,37.4697805,126.6282103,2020-04-27
36,제물량로6(YB2),좌42,37.469921,126.6278913,2020-04-27
37,제물량로6(YB2),좌43,37.4700516,126.6275045,2020-04-27
38,제물량로6(YB2),좌40,37.4696579,126.6285178,2020-04-27
39,제물량로6(YB2),좌39,37.4695263,126.6288254,2020-04-27
40,제물량로6(YB2),좌38,37.4694474,126.6290077,2020-04-27
41,제물량로6(YB2),좌36,37.4692109,126.6295999,2020-04-27
42,제물량로6(YB2),좌35,37.4690884,126.6299074,2020-04-27
43,제물량로6(YB2),좌34,37.468957,126.6302376,2020-04-27
44,축항대로86번길7(YB3),좌11,37.4520479,126.6043027,2020-04-27
45,참외전로11(YB5),좌49,37.4730693,126.6352273,2020-04-27
46,참외전로11(YB5),좌50,37.4726872,126.6356864,2020-04-27
47,참외전로11(YB5),좌51,37.4723581,126.6360542,2020-04-27
48,참외전로11(YB5),좌52,37.4721268,126.6363184,2020-04-27
49,참외전로11(YB5),좌53,37.4718511,126.6366286,2020-04-27
50,우현로2(YB8),좌24,37.475282,126.6309928,2020-04-27
51,우현로2(YB8),좌22,37.4748544,126.6306388,2020-04-27
52,우현로2(YB8),좌21,37.4747087,126.6305058,2020-04-27
53,우현로2(YB8),좌20,37.4744995,126.63034,2020-04-27
54,우현로2(YB8),좌19,37.4742902,126.630163,2020-04-27
55,우현로2(YB8),좌18,37.4739714,126.6298635,2020-04-27
56,우현로2(YB8),좌17,37.4737257,126.6296532,2020-04-27
57,우현로2(YB8),,37.4724998,126.6288277,2020-04-27
58,우현로2(YB8),좌16,37.4733984,126.6293992,2020-04-27
59,우현로2(YB8),좌15,37.4730895,126.6291787,2020-04-27
60,우현로2(YB8),좌14,37.472754,126.6289926,2020-04-27
61,우현로3(YB9),우27,37.475059,126.631189,2020-04-27
62,우현로3(YB9),우26,37.4747587,126.6309345,2020-04-27
63,우현로3(YB9),우25,37.4744854,126.6306794,2020-04-27
64,우현로3(YB9),우24,37.4742036,126.6304585,2020-04-27
65,우현로3(YB9),우23,37.4739304,126.6302147,2020-04-27
66,우현로3(YB9),우22,37.4736301,126.6299602,2020-04-27
67,우현로3(YB9),우21,37.4734116,126.6297607,2020-04-27
68,우현로3(YB9),우20,37.4730847,126.6295405,2020-04-27
69,우현로3(YB9),우19,37.472785,126.6293425,2020-04-27
70,우현로3(YB9),우18,37.4724674,126.6291448,2020-04-27
71,개항로2(YB11),좌9,37.4724139,126.629191,2020-04-27
72,개항로2(YB11),좌15,37.4720452,126.6315944,2020-04-27
73,개항로2(YB11),좌11,37.4721893,126.6300317,2020-04-27
74,개항로2(YB11),우23,37.4720305,126.6303172,2020-04-27
75,개항로2(YB11),우25,37.471945,126.6307144,2020-04-27
76,개항로2(YB11),우27,37.4718709,126.6313263,2020-04-27
77,개항로2(YB11),좌13,37.4720608,126.6305993,2020-04-27
78,개항로2(YB11),좌17,37.4719404,126.6310989,2020-04-27
79,개항로2(YB11),우21,37.4722291,126.6295788,2020-04-27
80,개항로2(YB11),우20,37.4723231,126.6291362,2020-04-27
81,개항로2(YB11),우22,37.4721166,126.6299765,2020-04-27
82,개항로2(YB11),우24,37.4719964,126.6304874,2020-04-27
83,개항로2(YB11),좌12,37.4721208,126.6303382,2020-04-27
84,개항로2(YB11),좌14,37.4720091,126.6308037,2020-04-27
85,개항로2(YB11),우26,37.4718499,126.6310666,2020-04-27
86,개항로2(YB11),우28,37.4719546,126.6315508,2020-04-27
87,개항로2(YB11),좌16,37.471952,126.6313248,2020-04-27
88,개항로3(YB10),좌24,37.4720872,126.6321024,2020-04-27
89,개항로3(YB10),좌25,37.4724876,126.6340056,2020-04-27
90,개항로3(YB10),좌27,37.4727017,126.6346009,2020-04-27
91,개항로3(YB10),좌21,37.472157,126.6326889,2020-04-27
92,개항로3(YB10),좌26,37.472627,126.6343761,2020-04-27
93,개항로3(YB10),좌19,37.472385,126.6337022,2020-04-27
94,개항로3(YB10),좌22,37.4721082,126.632362,2020-04-27
95,개항로3(YB10),좌18,37.4720751,126.6318426,2020-04-27
96,개항로3(YB10),우36,37.472398,126.6340525,2020-04-27
97,개항로3(YB10),우34,37.4722015,126.633423,2020-04-27
98,개항로3(YB10),우32,37.4720953,126.6328031,2020-04-27
99,개항로3(YB10),우30,37.4720065,126.6321377,2020-04-27
100,개항로3(YB10),우37,37.4725368,126.6343665,2020-04-27
101,개항로3(YB10),우35,37.4723039,126.6337037,2020-04-27
102,개항로3(YB10),우33,37.472144,126.6331188,2020-04-27
103,개항로3(YB10),우31,37.4720466,126.6324875,2020-04-27
104,개항로3(YB10),우29,37.4719942,126.6318553,2020-04-27
105,참외전로14(YB13),우73,37.468684,126.6417166,2020-04-27
106,참외전로14(YB13),샛골로좌5,37.4674224,126.6417055,2020-04-27
107,참외전로14(YB13),샛골로좌6,37.4682247,126.6417362,2020-04-27
108,참외전로14(YB13),샛골로좌4,37.4669899,126.641702,2020-04-27
109,샛골로2(YB14),우7,37.4680103,126.6418983,2020-04-27
110,샛골로2(YB14),우73,37.468252,126.6425496,2020-04-27
111,샛골로2(YB14),우72,37.4684275,126.6421395,2020-04-27
112,샛골로2(YB14),우74,37.4680406,126.6429717,2020-04-27
113,샛골로2(YB14),우8,37.4682897,126.6419046,2020-04-27
114,샛골로2(YB14),우6,37.4676408,126.6418937,2020-04-27
115,샛골로2(YB14),우5,37.4671271,126.6418804,2020-04-27
116,샛골로2(YB14),우3,37.4665051,126.6418577,2020-04-27
117,샛골로2(YB14),우1,37.4657056,126.6420643,2020-04-27
118,샛골로2(YB14),우4,37.4668207,126.6418746,2020-04-27
119,샛골로2(YB14),우2,37.466163,126.6418865,2020-04-27
120,샛골로1(YB15),우1,37.4663472,126.6414423,2020-04-27
